Team,Last_Form_Pts,Last_Goals_Scored_Avg,Last_Goals_Conceded_Avg,Last_Over25_Rate,Last_BTTS_Rate
Raith Rvs,12.0,2.0,0.4,0.4,0.2
Rangers,12.0,1.2,0.6,0.4,0.4
Rayo Vallecano,1.0,1.0,1.0,0.0,1.0
Reading,7.0,2.4,1.4,0.8,0.6
Real Madrid,12.0,2.8,0.8,0.8,0.6
Real Salt Lake,1.0,0.8,1.8,0.6,0.6
Red Bull Bragantino,5.0,1.2,1.4,0.4,0.8
Red Bull New York,5.0,0.6,1.2,0.2,0.4
Red Star,8.0,1.0,1.2,0.4,0.6
Reggiana,7.0,1.0,0.8,0.2,0.4
Reims,11.0,2.8,1.6,1.0,1.0
Remo,1.0,1.0,1.8,0.6,0.8
Rennes,10.0,1.8,1.6,0.8,0.8
Rio Ave,4.0,1.0,2.6,0.6,0.2
River Plate,13.0,2.4,1.2,0.8,0.8
Rizespor,9.0,1.0,0.8,0.2,0.2
Rochdale,4.0,1.0,1.4,0.6,0.4
Rodez,4.0,1.6,2.2,0.6,0.6
Roma,15.0,2.8,0.2,0.6,0.2
Rosario Central,8.0,1.2,1.0,0.4,0.6
Ross County,6.0,1.6,1.8,0.8,0.4
Rotherham,6.0,1.6,1.6,0.6,0.8
Sabadell,8.0,0.8,0.8,0.2,0.2
Salernitana,2.0,0.9,2.3,0.7,
Salford,7.0,1.2,1.2,0.4,0.4
Sampdoria,1.0,0.6,1.8,0.4,0.6
Samsunspor,4.0,1.2,2.2,0.4,0.4
San Diego,6.0,1.6,2.0,0.8,0.4
San Jose Earthquakes,8.0,1.2,1.6,0.4,0.6
San Lorenzo,8.0,0.6,0.4,0.0,0.2
Santa Clara,13.0,1.8,0.4,0.4,0.4
Santander,7.0,1.8,1.8,0.8,0.8
Santos,12.0,1.6,1.0,0.6,0.6
Sarmiento (Junín),10.0,1.6,1.0,0.2,0.4
Sassuolo,7.0,1.6,1.6,0.8,0.8
Schalke 04,7.0,0.8,1.4,0.6,0.2
Seattle Sounders,4.0,1.0,1.2,0.4,0.8
Sevilla,10.0,1.6,1.2,0.6,0.8
Sheffield United,7.0,1.6,1.8,0.8,0.8
Sheffield Wed,0.0,0.0,1.0,0.0,0.0
Sheffield Weds,10.0,2.2,1.0,0.6,0.6
Shelbourne,7.0,1.39,1.27,0.5,
Shrewsbury,6.0,0.8,1.6,0.4,0.2
Sochaux,9.0,0.6,0.2,0.0,0.2
Sociedad,7.0,1.2,2.0,0.8,0.6
Sociedad B,8.0,1.6,1.2,0.6,0.8
Southampton,11.0,2.8,1.0,0.6,1.0
Sp Braga,10.0,1.4,1.0,0.6,0.6
Sp Gijon,7.0,0.4,0.6,0.0,0.0
Sp Lisbon,13.0,2.6,0.8,0.6,0.6
Spal,1.0,0.6,2.9,0.8,
Sparta Rotterdam,5.0,2.0,2.4,1.0,1.0
Spezia,5.0,2.2,2.0,0.6,0.8
Sport,6.0,1.6,1.2,0.8,0.6
Sporting Kansas City,4.0,1.6,2.2,0.8,0.8
St Etienne,12.0,2.8,1.2,1.0,0.8
St Johnstone,4.0,0.8,1.2,0.4,0.6
St Mirren,7.0,1.2,1.2,0.4,0.4
St Patrick's Athl.,7.0,1.65,1.49,0.5,
St Pauli,6.0,1.4,1.4,0.6,0.8
